# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
974           	(-5.161166e+02 5.513760e+01 4.050077e+02)	(-5.161338e+02 5.213578e+01 4.088924e+02)	(1.722221e-02 3.001827e+00 -3.884768e+00)
975           	(-5.160911e+02 5.553098e+01 4.047496e+02)	(-5.161081e+02 5.252941e+01 4.086344e+02)	(1.699090e-02 3.001572e+00 -3.884802e+00)
976           	(-5.160780e+02 5.545812e+01 4.047759e+02)	(-5.160948e+02 5.245681e+01 4.086607e+02)	(1.675856e-02 3.001312e+00 -3.884843e+00)
977           	(-5.160719e+02 5.520861e+01 4.049500e+02)	(-5.160884e+02 5.220758e+01 4.088348e+02)	(1.652717e-02 3.001036e+00 -3.884872e+00)
978           	(-5.160660e+02 5.496986e+01 4.051049e+02)	(-5.160823e+02 5.196908e+01 4.089898e+02)	(1.629487e-02 3.000773e+00 -3.884912e+00)
979           	(-5.160546e+02 5.470565e+01 4.052374e+02)	(-5.160706e+02 5.170513e+01 4.091223e+02)	(1.606277e-02 3.000515e+00 -3.884913e+00)
980           	(-5.160446e+02 5.440822e+01 4.054045e+02)	(-5.160604e+02 5.140795e+01 4.092894e+02)	(1.583171e-02 3.000271e+00 -3.884871e+00)
981           	(-5.160430e+02 5.423604e+01 4.055473e+02)	(-5.160586e+02 5.123601e+01 4.094321e+02)	(1.560133e-02 3.000029e+00 -3.884806e+00)
982           	(-5.160385e+02 5.369077e+01 4.058972e+02)	(-5.160539e+02 5.069097e+01 4.097820e+02)	(1.537168e-02 2.999803e+00 -3.884730e+00)
983           	(-5.160324e+02 5.345614e+01 4.060442e+02)	(-5.160475e+02 5.045656e+01 4.099288e+02)	(1.514268e-02 2.999586e+00 -3.884635e+00)
984           	(-5.160227e+02 5.291344e+01 4.063726e+02)	(-5.160376e+02 4.991407e+01 4.102571e+02)	(1.491459e-02 2.999367e+00 -3.884536e+00)
985           	(-5.160106e+02 5.299336e+01 4.063257e+02)	(-5.160253e+02 4.999423e+01 4.102102e+02)	(1.468269e-02 2.999135e+00 -3.884532e+00)
986           	(-5.159840e+02 5.303723e+01 4.062528e+02)	(-5.159985e+02 5.003833e+01 4.101374e+02)	(1.445201e-02 2.998899e+00 -3.884550e+00)
987           	(-5.159810e+02 5.292945e+01 4.063428e+02)	(-5.159952e+02 4.993079e+01 4.102273e+02)	(1.422292e-02 2.998656e+00 -3.884538e+00)
988           	(-5.159795e+02 5.240571e+01 4.066913e+02)	(-5.159935e+02 4.940728e+01 4.105758e+02)	(1.399373e-02 2.998428e+00 -3.884530e+00)
989           	(-5.159771e+02 5.220666e+01 4.068198e+02)	(-5.159909e+02 4.920844e+01 4.107043e+02)	(1.376499e-02 2.998212e+00 -3.884511e+00)
990           	(-5.159775e+02 5.170000e+01 4.071401e+02)	(-5.159910e+02 4.870199e+01 4.110246e+02)	(1.353723e-02 2.998004e+00 -3.884489e+00)
991           	(-5.159812e+02 5.160508e+01 4.072439e+02)	(-5.159945e+02 4.860728e+01 4.111283e+02)	(1.331069e-02 2.997801e+00 -3.884435e+00)
992           	(-5.159863e+02 5.123771e+01 4.075024e+02)	(-5.159993e+02 4.824009e+01 4.113868e+02)	(1.308362e-02 2.997619e+00 -3.884379e+00)
993           	(-5.159859e+02 5.112743e+01 4.075735e+02)	(-5.159987e+02 4.812998e+01 4.114578e+02)	(1.285626e-02 2.997450e+00 -3.884309e+00)
994           	(-5.159838e+02 5.079159e+01 4.077623e+02)	(-5.159964e+02 4.779430e+01 4.116465e+02)	(1.262920e-02 2.997295e+00 -3.884241e+00)
995           	(-5.159872e+02 5.076536e+01 4.078177e+02)	(-5.159996e+02 4.776821e+01 4.117019e+02)	(1.240297e-02 2.997146e+00 -3.884150e+00)
996           	(-5.159942e+02 5.047208e+01 4.080282e+02)	(-5.160064e+02 4.747506e+01 4.119122e+02)	(1.217693e-02 2.997019e+00 -3.884059e+00)
997           	(-5.159957e+02 5.035246e+01 4.081048e+02)	(-5.160076e+02 4.735556e+01 4.119888e+02)	(1.195171e-02 2.996900e+00 -3.883951e+00)
998           	(-5.159998e+02 4.992477e+01 4.083522e+02)	(-5.160115e+02 4.692797e+01 4.122361e+02)	(1.172753e-02 2.996793e+00 -3.883843e+00)
999           	(-5.160055e+02 4.991144e+01 4.084102e+02)	(-5.160170e+02 4.691476e+01 4.122939e+02)	(1.150552e-02 2.996682e+00 -3.883699e+00)
1000          	(-5.159967e+02 4.967761e+01 4.084958e+02)	(-5.160079e+02 4.668101e+01 4.123793e+02)	(1.128306e-02 2.996597e+00 -3.883589e+00)
1001          	(-5.159773e+02 5.007154e+01 4.082336e+02)	(-5.159883e+02 4.707503e+01 4.121171e+02)	(1.105831e-02 2.996511e+00 -3.883510e+00)
1002          	(-5.159668e+02 5.036332e+01 4.080717e+02)	(-5.159776e+02 4.736688e+01 4.119551e+02)	(1.083432e-02 2.996433e+00 -3.883416e+00)
1003          	(-5.159530e+02 5.028310e+01 4.081051e+02)	(-5.159636e+02 4.728674e+01 4.119884e+02)	(1.061306e-02 2.996362e+00 -3.883317e+00)
1004          	(-5.159574e+02 5.016681e+01 4.082024e+02)	(-5.159678e+02 4.717051e+01 4.120856e+02)	(1.039200e-02 2.996301e+00 -3.883210e+00)
1005          	(-5.159654e+02 4.968435e+01 4.084906e+02)	(-5.159756e+02 4.668810e+01 4.123737e+02)	(1.017055e-02 2.996249e+00 -3.883116e+00)
1006          	(-5.159667e+02 4.963964e+01 4.085497e+02)	(-5.159766e+02 4.664346e+01 4.124327e+02)	(9.951552e-03 2.996183e+00 -3.882990e+00)
1007          	(-5.159634e+02 4.943904e+01 4.086670e+02)	(-5.159732e+02 4.644290e+01 4.125499e+02)	(9.732691e-03 2.996138e+00 -3.882879e+00)
1008          	(-5.159579e+02 4.936239e+01 4.087106e+02)	(-5.159674e+02 4.636629e+01 4.125933e+02)	(9.515094e-03 2.996100e+00 -3.882761e+00)
1009          	(-5.159466e+02 4.906114e+01 4.088529e+02)	(-5.159559e+02 4.606507e+01 4.127356e+02)	(9.299408e-03 2.996066e+00 -3.882654e+00)
1010          	(-5.159442e+02 4.901181e+01 4.089052e+02)	(-5.159533e+02 4.601580e+01 4.127877e+02)	(9.086867e-03 2.996017e+00 -3.882523e+00)
1011          	(-5.159282e+02 4.849051e+01 4.091355e+02)	(-5.159371e+02 4.549451e+01 4.130180e+02)	(8.875970e-03 2.995999e+00 -3.882427e+00)
1012          	(-5.159288e+02 4.851831e+01 4.091571e+02)	(-5.159375e+02 4.552235e+01 4.130394e+02)	(8.665887e-03 2.995968e+00 -3.882310e+00)
1013          	(-5.159329e+02 4.843673e+01 4.092368e+02)	(-5.159414e+02 4.544079e+01 4.131190e+02)	(8.457781e-03 2.995936e+00 -3.882198e+00)
1014          	(-5.159334e+02 4.839807e+01 4.092726e+02)	(-5.159416e+02 4.540216e+01 4.131546e+02)	(8.250564e-03 2.995915e+00 -3.882086e+00)
1015          	(-5.159288e+02 4.811477e+01 4.093999e+02)	(-5.159369e+02 4.511887e+01 4.132819e+02)	(8.043806e-03 2.995898e+00 -3.881985e+00)
1016          	(-5.159289e+02 4.806899e+01 4.094480e+02)	(-5.159367e+02 4.507314e+01 4.133299e+02)	(7.839158e-03 2.995856e+00 -3.881852e+00)
1017          	(-5.159205e+02 4.792429e+01 4.095068e+02)	(-5.159281e+02 4.492846e+01 4.133885e+02)	(7.631799e-03 2.995833e+00 -3.881763e+00)
1018          	(-5.159071e+02 4.796261e+01 4.094312e+02)	(-5.159145e+02 4.496680e+01 4.133129e+02)	(7.420304e-03 2.995817e+00 -3.881726e+00)
1019          	(-5.158374e+02 4.799334e+01 4.092036e+02)	(-5.158446e+02 4.499753e+01 4.130854e+02)	(7.208324e-03 2.995806e+00 -3.881786e+00)
1020          	(-5.158099e+02 4.813163e+01 4.090969e+02)	(-5.158169e+02 4.513585e+01 4.129788e+02)	(6.993217e-03 2.995779e+00 -3.881928e+00)
1021          	(-5.156529e+02 4.790038e+01 4.089406e+02)	(-5.156597e+02 4.490458e+01 4.128229e+02)	(6.785970e-03 2.995794e+00 -3.882246e+00)
1022          	(-5.155629e+02 4.841119e+01 4.086034e+02)	(-5.155695e+02 4.541543e+01 4.124860e+02)	(6.587070e-03 2.995761e+00 -3.882613e+00)
1023          	(-5.154361e+02 4.822125e+01 4.086321e+02)	(-5.154424e+02 4.522554e+01 4.125151e+02)	(6.398217e-03 2.995704e+00 -3.882995e+00)
1024          	(-5.156051e+02 4.987871e+01 4.079943e+02)	(-5.156114e+02 4.688304e+01 4.118774e+02)	(6.221339e-03 2.995667e+00 -3.883154e+00)
1025          	(-5.154874e+02 4.920365e+01 4.083305e+02)	(-5.154934e+02 4.620794e+01 4.122139e+02)	(6.042406e-03 2.995715e+00 -3.883378e+00)
1026          	(-5.153093e+02 4.850885e+01 4.085461e+02)	(-5.153152e+02 4.551312e+01 4.124298e+02)	(5.897462e-03 2.995731e+00 -3.883640e+00)
1027          	(-5.152460e+02 4.830748e+01 4.085324e+02)	(-5.152518e+02 4.531174e+01 4.124164e+02)	(5.752786e-03 2.995736e+00 -3.883964e+00)
1028          	(-5.152464e+02 4.793348e+01 4.086624e+02)	(-5.152520e+02 4.493779e+01 4.125466e+02)	(5.612745e-03 2.995692e+00 -3.884201e+00)
1029          	(-5.153125e+02 4.716371e+01 4.090814e+02)	(-5.153179e+02 4.416808e+01 4.129658e+02)	(5.461856e-03 2.995633e+00 -3.884404e+00)
1030          	(-5.153696e+02 4.648137e+01 4.095084e+02)	(-5.153749e+02 4.348581e+01 4.133930e+02)	(5.307754e-03 2.995557e+00 -3.884571e+00)
1031          	(-5.154220e+02 4.609380e+01 4.097644e+02)	(-5.154271e+02 4.309831e+01 4.136491e+02)	(5.147514e-03 2.995489e+00 -3.884731e+00)
1032          	(-5.154712e+02 4.534019e+01 4.103783e+02)	(-5.154762e+02 4.234479e+01 4.142632e+02)	(4.985652e-03 2.995407e+00 -3.884909e+00)
1033          	(-5.155404e+02 4.487426e+01 4.106829e+02)	(-5.155452e+02 4.187887e+01 4.145681e+02)	(4.817481e-03 2.995397e+00 -3.885161e+00)
1034          	(-5.156259e+02 4.452445e+01 4.109552e+02)	(-5.156305e+02 4.152903e+01 4.148407e+02)	(4.642478e-03 2.995422e+00 -3.885457e+00)
1035          	(-5.157076e+02 4.422300e+01 4.111820e+02)	(-5.157120e+02 4.122755e+01 4.150677e+02)	(4.464142e-03 2.995456e+00 -3.885774e+00)
1036          	(-5.157842e+02 4.389576e+01 4.114268e+02)	(-5.157885e+02 4.090027e+01 4.153129e+02)	(4.285233e-03 2.995483e+00 -3.886088e+00)
1037          	(-5.158609e+02 4.349222e+01 4.117038e+02)	(-5.158650e+02 4.049673e+01 4.155902e+02)	(4.107535e-03 2.995488e+00 -3.886393e+00)
1038          	(-5.158986e+02 4.329895e+01 4.118909e+02)	(-5.159025e+02 4.030348e+01 4.157775e+02)	(3.929435e-03 2.995475e+00 -3.886661e+00)
1039          	(-5.160345e+02 4.236126e+01 4.124462e+02)	(-5.160382e+02 3.936582e+01 4.163331e+02)	(3.744243e-03 2.995436e+00 -3.886920e+00)
1040          	(-5.160715e+02 4.225535e+01 4.126107e+02)	(-5.160751e+02 3.925995e+01 4.164978e+02)	(3.555479e-03 2.995396e+00 -3.887155e+00)
1041          	(-5.161831e+02 4.161889e+01 4.130062e+02)	(-5.161865e+02 3.862355e+01 4.168936e+02)	(3.356184e-03 2.995341e+00 -3.887387e+00)
1042          	(-5.162274e+02 4.142017e+01 4.132029e+02)	(-5.162305e+02 3.842489e+01 4.170905e+02)	(3.157481e-03 2.995284e+00 -3.887589e+00)
1043          	(-5.162680e+02 4.119979e+01 4.133843e+02)	(-5.162710e+02 3.820455e+01 4.172721e+02)	(2.962315e-03 2.995242e+00 -3.887779e+00)
1044          	(-5.163145e+02 4.086557e+01 4.135883e+02)	(-5.163173e+02 3.787036e+01 4.174762e+02)	(2.769852e-03 2.995208e+00 -3.887959e+00)
1045          	(-5.163412e+02 4.072227e+01 4.136956e+02)	(-5.163438e+02 3.772705e+01 4.175839e+02)	(2.581222e-03 2.995224e+00 -3.888235e+00)
1046          	(-5.162948e+02 4.101010e+01 4.134733e+02)	(-5.162972e+02 3.801480e+01 4.173620e+02)	(2.413272e-03 2.995302e+00 -3.888647e+00)
1047          	(-5.162452e+02 4.167563e+01 4.130142e+02)	(-5.162475e+02 3.868019e+01 4.169034e+02)	(2.271305e-03 2.995438e+00 -3.889223e+00)
1048          	(-5.162957e+02 4.156066e+01 4.131207e+02)	(-5.162978e+02 3.856510e+01 4.170106e+02)	(2.128727e-03 2.995562e+00 -3.889827e+00)
1049          	(-5.163765e+02 4.117174e+01 4.134040e+02)	(-5.163784e+02 3.817604e+01 4.172945e+02)	(1.993463e-03 2.995696e+00 -3.890568e+00)
1050          	(-5.164382e+02 4.077842e+01 4.137104e+02)	(-5.164401e+02 3.778260e+01 4.176016e+02)	(1.863458e-03 2.995817e+00 -3.891223e+00)
1051          	(-5.164975e+02 4.031257e+01 4.140281e+02)	(-5.164993e+02 3.731666e+01 4.179199e+02)	(1.748745e-03 2.995912e+00 -3.891815e+00)
1052          	(-5.165447e+02 3.972321e+01 4.144024e+02)	(-5.165463e+02 3.672721e+01 4.182948e+02)	(1.621749e-03 2.996004e+00 -3.892377e+00)
1053          	(-5.165910e+02 3.940868e+01 4.146404e+02)	(-5.165925e+02 3.641254e+01 4.185334e+02)	(1.524959e-03 2.996139e+00 -3.893061e+00)
1054          	(-5.166624e+02 3.926314e+01 4.147406e+02)	(-5.166639e+02 3.626689e+01 4.186344e+02)	(1.439742e-03 2.996247e+00 -3.893739e+00)
1055          	(-5.168071e+02 3.885892e+01 4.149731e+02)	(-5.168085e+02 3.586257e+01 4.188676e+02)	(1.357633e-03 2.996345e+00 -3.894493e+00)
1056          	(-5.169790e+02 3.805978e+01 4.154360e+02)	(-5.169803e+02 3.506337e+01 4.193314e+02)	(1.261659e-03 2.996411e+00 -3.895361e+00)
1057          	(-5.170867e+02 3.740616e+01 4.158724e+02)	(-5.170879e+02 3.440969e+01 4.197686e+02)	(1.182088e-03 2.996468e+00 -3.896198e+00)
1058          	(-5.174262e+02 3.929195e+01 4.152519e+02)	(-5.174273e+02 3.629535e+01 4.191487e+02)	(1.101700e-03 2.996599e+00 -3.896771e+00)
1059          	(-5.174041e+02 3.881094e+01 4.156123e+02)	(-5.174051e+02 3.581412e+01 4.195097e+02)	(1.061366e-03 2.996816e+00 -3.897413e+00)
1060          	(-5.174908e+02 3.836046e+01 4.158696e+02)	(-5.174919e+02 3.536330e+01 4.197679e+02)	(1.046805e-03 2.997151e+00 -3.898293e+00)
1061          	(-5.175526e+02 3.804714e+01 4.159676e+02)	(-5.175537e+02 3.504958e+01 4.198670e+02)	(1.050757e-03 2.997561e+00 -3.899373e+00)
1062          	(-5.181800e+02 4.264475e+01 4.144705e+02)	(-5.181810e+02 3.964616e+01 4.183714e+02)	(9.949572e-04 2.998591e+00 -3.900861e+00)
1063          	(-5.182938e+02 4.098435e+01 4.151627e+02)	(-5.182948e+02 3.798522e+01 4.190650e+02)	(9.829097e-04 2.999136e+00 -3.902326e+00)
1064          	(-5.178444e+02 3.677954e+01 4.170265e+02)	(-5.178454e+02 3.378015e+01 4.209302e+02)	(1.044992e-03 2.999392e+00 -3.903679e+00)
1065          	(-5.177842e+02 3.593890e+01 4.174675e+02)	(-5.177854e+02 3.293931e+01 4.213723e+02)	(1.188499e-03 2.999589e+00 -3.904764e+00)
1066          	(-5.179433e+02 3.584239e+01 4.176082e+02)	(-5.179446e+02 3.284243e+01 4.215139e+02)	(1.329771e-03 2.999960e+00 -3.905726e+00)
1067          	(-5.181429e+02 3.612730e+01 4.176529e+02)	(-5.181444e+02 3.312680e+01 4.215595e+02)	(1.457937e-03 3.000502e+00 -3.906666e+00)
1068          	(-5.182508e+02 3.606792e+01 4.177693e+02)	(-5.182524e+02 3.306682e+01 4.216769e+02)	(1.589391e-03 3.001110e+00 -3.907559e+00)
1069          	(-5.183345e+02 3.590456e+01 4.179345e+02)	(-5.183362e+02 3.290283e+01 4.218428e+02)	(1.735320e-03 3.001726e+00 -3.908383e+00)
1070          	(-5.184050e+02 3.579734e+01 4.180779e+02)	(-5.184069e+02 3.279502e+01 4.219871e+02)	(1.899578e-03 3.002325e+00 -3.909140e+00)
1071          	(-5.184591e+02 3.574042e+01 4.182094e+02)	(-5.184612e+02 3.273750e+01 4.221192e+02)	(2.078974e-03 3.002921e+00 -3.909831e+00)
1072          	(-5.184992e+02 3.564221e+01 4.183552e+02)	(-5.185014e+02 3.263870e+01 4.222657e+02)	(2.274587e-03 3.003504e+00 -3.910469e+00)
1073          	(-5.185270e+02 3.556507e+01 4.185112e+02)	(-5.185295e+02 3.256099e+01 4.224223e+02)	(2.485434e-03 3.004076e+00 -3.911069e+00)
1074          	(-5.185469e+02 3.554575e+01 4.186529e+02)	(-5.185496e+02 3.254113e+01 4.225646e+02)	(2.714426e-03 3.004620e+00 -3.911631e+00)
1075          	(-5.185754e+02 3.552134e+01 4.188181e+02)	(-5.185784e+02 3.251619e+01 4.227303e+02)	(2.950339e-03 3.005150e+00 -3.912164e+00)
1076          	(-5.186168e+02 3.548693e+01 4.189321e+02)	(-5.186200e+02 3.248130e+01 4.228448e+02)	(3.200737e-03 3.005630e+00 -3.912671e+00)
1077          	(-5.186705e+02 3.550870e+01 4.189985e+02)	(-5.186740e+02 3.250263e+01 4.229116e+02)	(3.464245e-03 3.006066e+00 -3.913176e+00)
1078          	(-5.187268e+02 3.565219e+01 4.188434e+02)	(-5.187305e+02 3.264575e+01 4.227569e+02)	(3.727531e-03 3.006443e+00 -3.913535e+00)
1079          	(-5.190120e+02 3.839584e+01 4.172126e+02)	(-5.190160e+02 3.538899e+01 4.211263e+02)	(3.991269e-03 3.006853e+00 -3.913692e+00)
1080          	(-5.189990e+02 3.810051e+01 4.173066e+02)	(-5.190033e+02 3.509319e+01 4.212204e+02)	(4.253439e-03 3.007322e+00 -3.913848e+00)
1081          	(-5.189688e+02 3.654723e+01 4.183330e+02)	(-5.189734e+02 3.353949e+01 4.222471e+02)	(4.523506e-03 3.007737e+00 -3.914113e+00)
1082          	(-5.189851e+02 3.646507e+01 4.183112e+02)	(-5.189899e+02 3.345695e+01 4.222255e+02)	(4.797388e-03 3.008113e+00 -3.914361e+00)
1083          	(-5.190411e+02 3.642376e+01 4.182631e+02)	(-5.190462e+02 3.341530e+01 4.221777e+02)	(5.073462e-03 3.008459e+00 -3.914616e+00)
1084          	(-5.190987e+02 3.643941e+01 4.181894e+02)	(-5.191041e+02 3.343064e+01 4.221043e+02)	(5.348693e-03 3.008771e+00 -3.914868e+00)
1085          	(-5.191529e+02 3.648244e+01 4.181470e+02)	(-5.191585e+02 3.347340e+01 4.220621e+02)	(5.626038e-03 3.009048e+00 -3.915108e+00)
1086          	(-5.192024e+02 3.649377e+01 4.181232e+02)	(-5.192083e+02 3.348447e+01 4.220385e+02)	(5.904715e-03 3.009303e+00 -3.915357e+00)
1087          	(-5.192517e+02 3.650115e+01 4.181033e+02)	(-5.192579e+02 3.349163e+01 4.220189e+02)	(6.185610e-03 3.009517e+00 -3.915599e+00)
1088          	(-5.193030e+02 3.666018e+01 4.180167e+02)	(-5.193094e+02 3.365049e+01 4.219325e+02)	(6.468866e-03 3.009685e+00 -3.915816e+00)
1089          	(-5.193598e+02 3.686416e+01 4.178810e+02)	(-5.193665e+02 3.385432e+01 4.217970e+02)	(6.752376e-03 3.009842e+00 -3.916032e+00)
1090          	(-5.194095e+02 3.694321e+01 4.177935e+02)	(-5.194165e+02 3.393323e+01 4.217098e+02)	(7.039056e-03 3.009976e+00 -3.916249e+00)
1091          	(-5.194595e+02 3.702653e+01 4.177517e+02)	(-5.194668e+02 3.401644e+01 4.216682e+02)	(7.326760e-03 3.010082e+00 -3.916448e+00)
1092          	(-5.195103e+02 3.715651e+01 4.176746e+02)	(-5.195179e+02 3.414633e+01 4.215913e+02)	(7.613595e-03 3.010181e+00 -3.916655e+00)
1093          	(-5.195605e+02 3.724063e+01 4.176173e+02)	(-5.195684e+02 3.423037e+01 4.215341e+02)	(7.900432e-03 3.010260e+00 -3.916856e+00)
1094          	(-5.196141e+02 3.737347e+01 4.175541e+02)	(-5.196223e+02 3.436315e+01 4.214711e+02)	(8.187168e-03 3.010317e+00 -3.917051e+00)
1095          	(-5.196708e+02 3.751951e+01 4.174918e+02)	(-5.196792e+02 3.450914e+01 4.214091e+02)	(8.472138e-03 3.010366e+00 -3.917248e+00)
1096          	(-5.197201e+02 3.760862e+01 4.174431e+02)	(-5.197289e+02 3.459822e+01 4.213606e+02)	(8.755131e-03 3.010404e+00 -3.917458e+00)
1097          	(-5.197696e+02 3.774420e+01 4.173764e+02)	(-5.197786e+02 3.473380e+01 4.212941e+02)	(9.054097e-03 3.010402e+00 -3.917659e+00)
1098          	(-5.197822e+02 3.717976e+01 4.175803e+02)	(-5.197916e+02 3.416932e+01 4.214983e+02)	(9.388367e-03 3.010437e+00 -3.918001e+00)
1099          	(-5.198228e+02 3.764675e+01 4.173843e+02)	(-5.198326e+02 3.463638e+01 4.213026e+02)	(9.772828e-03 3.010368e+00 -3.918330e+00)
1100          	(-5.199988e+02 3.831913e+01 4.169966e+02)	(-5.200090e+02 3.530878e+01 4.209153e+02)	(1.019013e-02 3.010353e+00 -3.918734e+00)
1101          	(-5.200154e+02 3.856812e+01 4.168473e+02)	(-5.200260e+02 3.555771e+01 4.207666e+02)	(1.060576e-02 3.010402e+00 -3.919219e+00)
1102          	(-5.200626e+02 3.892591e+01 4.166496e+02)	(-5.200737e+02 3.591549e+01 4.205693e+02)	(1.101532e-02 3.010421e+00 -3.919741e+00)
1103          	(-5.201716e+02 3.919424e+01 4.165288e+02)	(-5.201830e+02 3.618382e+01 4.204491e+02)	(1.141456e-02 3.010415e+00 -3.920253e+00)
1104          	(-5.202042e+02 3.926174e+01 4.165103e+02)	(-5.202160e+02 3.625136e+01 4.204310e+02)	(1.181296e-02 3.010377e+00 -3.920752e+00)
1105          	(-5.202749e+02 3.936057e+01 4.165275e+02)	(-5.202871e+02 3.635024e+01 4.204487e+02)	(1.220805e-02 3.010324e+00 -3.921255e+00)
1106          	(-5.203453e+02 3.950689e+01 4.164320e+02)	(-5.203579e+02 3.649663e+01 4.203538e+02)	(1.259791e-02 3.010258e+00 -3.921765e+00)
1107          	(-5.204106e+02 3.969383e+01 4.163249e+02)	(-5.204236e+02 3.668367e+01 4.202472e+02)	(1.298176e-02 3.010164e+00 -3.922245e+00)
1108          	(-5.204558e+02 3.949351e+01 4.163188e+02)	(-5.204692e+02 3.648343e+01 4.202415e+02)	(1.336236e-02 3.010087e+00 -3.922774e+00)
1109          	(-5.205123e+02 3.980801e+01 4.161631e+02)	(-5.205261e+02 3.679806e+01 4.200864e+02)	(1.374145e-02 3.009959e+00 -3.923263e+00)
1110          	(-5.205627e+02 4.006553e+01 4.160048e+02)	(-5.205769e+02 3.705570e+01 4.199286e+02)	(1.413225e-02 3.009829e+00 -3.923780e+00)
1111          	(-5.206452e+02 4.047001e+01 4.157593e+02)	(-5.206598e+02 3.746030e+01 4.196836e+02)	(1.454470e-02 3.009715e+00 -3.924352e+00)
1112          	(-5.207842e+02 4.217709e+01 4.143975e+02)	(-5.207992e+02 3.916740e+01 4.183224e+02)	(1.498624e-02 3.009685e+00 -3.924923e+00)
1113          	(-5.209575e+02 4.217539e+01 4.144796e+02)	(-5.209729e+02 3.916570e+01 4.184052e+02)	(1.543170e-02 3.009693e+00 -3.925564e+00)
1114          	(-5.211143e+02 4.240427e+01 4.142178e+02)	(-5.211302e+02 3.939463e+01 4.181440e+02)	(1.584768e-02 3.009634e+00 -3.926188e+00)
1115          	(-5.212897e+02 4.318827e+01 4.137184e+02)	(-5.213059e+02 4.017879e+01 4.176451e+02)	(1.621616e-02 3.009489e+00 -3.926737e+00)
1116          	(-5.212253e+02 4.276664e+01 4.137836e+02)	(-5.212418e+02 3.975730e+01 4.177109e+02)	(1.656798e-02 3.009338e+00 -3.927320e+00)
1117          	(-5.212358e+02 4.303491e+01 4.136620e+02)	(-5.212527e+02 4.002583e+01 4.175898e+02)	(1.693698e-02 3.009083e+00 -3.927875e+00)
1118          	(-5.213126e+02 4.345154e+01 4.134802e+02)	(-5.213299e+02 4.044269e+01 4.174086e+02)	(1.730276e-02 3.008843e+00 -3.928436e+00)
1119          	(-5.213396e+02 4.370092e+01 4.133577e+02)	(-5.213573e+02 4.069234e+01 4.172867e+02)	(1.765606e-02 3.008579e+00 -3.928967e+00)
1120          	(-5.213668e+02 4.345808e+01 4.133868e+02)	(-5.213848e+02 4.044971e+01 4.173163e+02)	(1.799062e-02 3.008367e+00 -3.929534e+00)
1121          	(-5.205262e+02 4.061121e+01 4.151568e+02)	(-5.205442e+02 3.760248e+01 4.190866e+02)	(1.805401e-02 3.008726e+00 -3.929805e+00)
1122          	(-5.208557e+02 4.164021e+01 4.139875e+02)	(-5.208741e+02 3.863176e+01 4.179175e+02)	(1.830466e-02 3.008459e+00 -3.930034e+00)
1123          	(-5.212287e+02 4.305538e+01 4.134869e+02)	(-5.212473e+02 4.004737e+01 4.174174e+02)	(1.863328e-02 3.008019e+00 -3.930423e+00)
1124          	(-5.213256e+02 4.381269e+01 4.132274e+02)	(-5.213446e+02 4.080514e+01 4.171583e+02)	(1.897561e-02 3.007555e+00 -3.930864e+00)
1125          	(-5.213421e+02 4.395809e+01 4.131836e+02)	(-5.213615e+02 4.095098e+01 4.171150e+02)	(1.933487e-02 3.007102e+00 -3.931397e+00)
1126          	(-5.213051e+02 4.383217e+01 4.132075e+02)	(-5.213247e+02 4.082546e+01 4.171394e+02)	(1.967323e-02 3.006704e+00 -3.931938e+00)
1127          	(-5.213074e+02 4.383305e+01 4.132319e+02)	(-5.213274e+02 4.082676e+01 4.171644e+02)	(2.001142e-02 3.006293e+00 -3.932472e+00)
1128          	(-5.213202e+02 4.391730e+01 4.132018e+02)	(-5.213405e+02 4.091139e+01 4.171348e+02)	(2.033423e-02 3.005916e+00 -3.933007e+00)
1129          	(-5.213381e+02 4.339646e+01 4.139011e+02)	(-5.213588e+02 4.039096e+01 4.178347e+02)	(2.064785e-02 3.005505e+00 -3.933563e+00)
1130          	(-5.213497e+02 4.344332e+01 4.139095e+02)	(-5.213707e+02 4.043820e+01 4.178436e+02)	(2.094825e-02 3.005118e+00 -3.934115e+00)
1131          	(-5.213682e+02 4.347367e+01 4.139264e+02)	(-5.213895e+02 4.046895e+01 4.178611e+02)	(2.125024e-02 3.004717e+00 -3.934660e+00)
1132          	(-5.214771e+02 4.440419e+01 4.130653e+02)	(-5.214987e+02 4.139978e+01 4.170005e+02)	(2.153952e-02 3.004403e+00 -3.935182e+00)
1133          	(-5.214881e+02 4.449537e+01 4.130907e+02)	(-5.215099e+02 4.149124e+01 4.170264e+02)	(2.181415e-02 3.004134e+00 -3.935702e+00)
1134          	(-5.214783e+02 4.383123e+01 4.138617e+02)	(-5.215004e+02 4.082742e+01 4.177979e+02)	(2.207754e-02 3.003810e+00 -3.936248e+00)
1135          	(-5.214917e+02 4.389191e+01 4.138921e+02)	(-5.215140e+02 4.088843e+01 4.178289e+02)	(2.233034e-02 3.003482e+00 -3.936773e+00)
1136          	(-5.215088e+02 4.387234e+01 4.139691e+02)	(-5.215314e+02 4.086917e+01 4.179064e+02)	(2.257052e-02 3.003171e+00 -3.937302e+00)
1137          	(-5.215216e+02 4.377017e+01 4.140756e+02)	(-5.215444e+02 4.076731e+01 4.180135e+02)	(2.280003e-02 3.002860e+00 -3.937824e+00)
