# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
37            	(-5.267447e+02 -1.806080e+02 5.851481e+02)	(-5.267941e+02 -1.835665e+02 5.901753e+02)	(4.939838e-02 2.958536e+00 -5.027197e+00)
38            	(-5.270295e+02 -1.766932e+02 5.845820e+02)	(-5.270819e+02 -1.796576e+02 5.896222e+02)	(5.231915e-02 2.964460e+00 -5.040198e+00)
39            	(-5.269792e+02 -1.810822e+02 5.873336e+02)	(-5.270345e+02 -1.840503e+02 5.923787e+02)	(5.533661e-02 2.968132e+00 -5.045178e+00)
40            	(-5.266659e+02 -1.751073e+02 5.852885e+02)	(-5.267240e+02 -1.780783e+02 5.903340e+02)	(5.809091e-02 2.971034e+00 -5.045433e+00)
41            	(-5.263894e+02 -1.772375e+02 5.850493e+02)	(-5.264502e+02 -1.802203e+02 5.901102e+02)	(6.074364e-02 2.982730e+00 -5.060857e+00)
42            	(-5.262752e+02 -1.775098e+02 5.876434e+02)	(-5.263385e+02 -1.805017e+02 5.927145e+02)	(6.335585e-02 2.991830e+00 -5.071084e+00)
43            	(-5.264356e+02 -1.784610e+02 5.871424e+02)	(-5.265017e+02 -1.814599e+02 5.922139e+02)	(6.608194e-02 2.998833e+00 -5.071573e+00)
44            	(-5.260526e+02 -1.801403e+02 5.903539e+02)	(-5.261212e+02 -1.831460e+02 5.954253e+02)	(6.854397e-02 3.005670e+00 -5.071458e+00)
45            	(-5.260625e+02 -1.798292e+02 5.894645e+02)	(-5.261335e+02 -1.828419e+02 5.945338e+02)	(7.098393e-02 3.012661e+00 -5.069314e+00)
46            	(-5.257782e+02 -1.800393e+02 5.912320e+02)	(-5.258514e+02 -1.830606e+02 5.963025e+02)	(7.319276e-02 3.021328e+00 -5.070490e+00)
47            	(-5.253197e+02 -1.832442e+02 5.921230e+02)	(-5.253950e+02 -1.862780e+02 5.972066e+02)	(7.524447e-02 3.033735e+00 -5.083537e+00)
48            	(-5.254217e+02 -1.828212e+02 5.939879e+02)	(-5.254990e+02 -1.858658e+02 5.990805e+02)	(7.730244e-02 3.044587e+00 -5.092674e+00)
49            	(-5.254682e+02 -1.841965e+02 5.945024e+02)	(-5.255475e+02 -1.872507e+02 5.995988e+02)	(7.932916e-02 3.054158e+00 -5.096334e+00)
50            	(-5.252476e+02 -1.857950e+02 5.960957e+02)	(-5.253288e+02 -1.888583e+02 6.011934e+02)	(8.125049e-02 3.063341e+00 -5.097677e+00)
51            	(-5.251276e+02 -1.868479e+02 5.969966e+02)	(-5.252107e+02 -1.899208e+02 6.020955e+02)	(8.308392e-02 3.072859e+00 -5.098859e+00)
52            	(-5.249452e+02 -1.886605e+02 5.982364e+02)	(-5.250300e+02 -1.917434e+02 6.033366e+02)	(8.480453e-02 3.082843e+00 -5.100161e+00)
53            	(-5.248256e+02 -1.873547e+02 5.976105e+02)	(-5.249121e+02 -1.904469e+02 6.027100e+02)	(8.646004e-02 3.092144e+00 -5.099570e+00)
54            	(-5.244919e+02 -1.882320e+02 5.983428e+02)	(-5.245799e+02 -1.913313e+02 6.034387e+02)	(8.800774e-02 3.099295e+00 -5.095846e+00)
55            	(-5.240414e+02 -1.950221e+02 6.021962e+02)	(-5.241310e+02 -1.981262e+02 6.072869e+02)	(8.956725e-02 3.104130e+00 -5.090704e+00)
56            	(-5.239584e+02 -1.932703e+02 6.011544e+02)	(-5.240494e+02 -1.963806e+02 6.062413e+02)	(9.101199e-02 3.110284e+00 -5.086978e+00)
57            	(-5.239335e+02 -1.933716e+02 6.014705e+02)	(-5.240260e+02 -1.964885e+02 6.065540e+02)	(9.246752e-02 3.116977e+00 -5.083543e+00)
58            	(-5.239012e+02 -1.923423e+02 6.008556e+02)	(-5.239950e+02 -1.954667e+02 6.059365e+02)	(9.384982e-02 3.124461e+00 -5.080903e+00)
59            	(-5.237737e+02 -1.932746e+02 6.015026e+02)	(-5.238690e+02 -1.964072e+02 6.065817e+02)	(9.521684e-02 3.132638e+00 -5.079059e+00)
60            	(-5.236852e+02 -1.938926e+02 6.020425e+02)	(-5.237817e+02 -1.970339e+02 6.071200e+02)	(9.657429e-02 3.141254e+00 -5.077585e+00)
61            	(-5.235625e+02 -1.944589e+02 6.022687e+02)	(-5.236605e+02 -1.976096e+02 6.073452e+02)	(9.799607e-02 3.150747e+00 -5.076533e+00)
62            	(-5.234462e+02 -1.936087e+02 6.016976e+02)	(-5.235457e+02 -1.967699e+02 6.067732e+02)	(9.950214e-02 3.161143e+00 -5.075580e+00)
63            	(-5.235135e+02 -1.944795e+02 6.018594e+02)	(-5.236145e+02 -1.976535e+02 6.069399e+02)	(1.010138e-01 3.173991e+00 -5.080466e+00)
64            	(-5.231955e+02 -1.953455e+02 6.021265e+02)	(-5.232983e+02 -1.985330e+02 6.072097e+02)	(1.027912e-01 3.187578e+00 -5.083161e+00)
65            	(-5.230044e+02 -1.990709e+02 6.041381e+02)	(-5.231092e+02 -2.022719e+02 6.092227e+02)	(1.048311e-01 3.201089e+00 -5.084523e+00)
66            	(-5.229765e+02 -1.963219e+02 6.023875e+02)	(-5.230833e+02 -1.995373e+02 6.074727e+02)	(1.068223e-01 3.215445e+00 -5.085262e+00)
67            	(-5.229983e+02 -1.957695e+02 6.018749e+02)	(-5.231071e+02 -1.990001e+02 6.069618e+02)	(1.087370e-01 3.230627e+00 -5.086889e+00)
68            	(-5.228839e+02 -1.959192e+02 6.017272e+02)	(-5.229945e+02 -1.991650e+02 6.068150e+02)	(1.106567e-01 3.245816e+00 -5.087778e+00)
69            	(-5.228032e+02 -1.952856e+02 6.011943e+02)	(-5.229157e+02 -1.985469e+02 6.062825e+02)	(1.125239e-01 3.261333e+00 -5.088124e+00)
70            	(-5.225661e+02 -1.998311e+02 6.038735e+02)	(-5.226805e+02 -2.031072e+02 6.089625e+02)	(1.143849e-01 3.276042e+00 -5.088941e+00)
71            	(-5.226776e+02 -1.971114e+02 6.020053e+02)	(-5.227938e+02 -2.004028e+02 6.070955e+02)	(1.161737e-01 3.291437e+00 -5.090203e+00)
72            	(-5.224919e+02 -2.010928e+02 6.036045e+02)	(-5.226098e+02 -2.043997e+02 6.086952e+02)	(1.179304e-01 3.306902e+00 -5.090777e+00)
73            	(-5.225397e+02 -1.957411e+02 6.012531e+02)	(-5.226594e+02 -1.990637e+02 6.063438e+02)	(1.196096e-01 3.322618e+00 -5.090668e+00)
74            	(-5.224690e+02 -1.962712e+02 6.016173e+02)	(-5.225902e+02 -1.996100e+02 6.067076e+02)	(1.212170e-01 3.338802e+00 -5.090310e+00)
75            	(-5.224302e+02 -1.961014e+02 6.013539e+02)	(-5.225530e+02 -1.994565e+02 6.064438e+02)	(1.227854e-01 3.355117e+00 -5.089938e+00)
76            	(-5.223652e+02 -1.967605e+02 6.016859e+02)	(-5.224896e+02 -2.001321e+02 6.067752e+02)	(1.243189e-01 3.371526e+00 -5.089317e+00)
77            	(-5.222755e+02 -1.995399e+02 6.025468e+02)	(-5.224014e+02 -2.029273e+02 6.076351e+02)	(1.258593e-01 3.387418e+00 -5.088392e+00)
78            	(-5.221434e+02 -2.009346e+02 6.026114e+02)	(-5.222708e+02 -2.043378e+02 6.076986e+02)	(1.273638e-01 3.403193e+00 -5.087192e+00)
79            	(-5.220567e+02 -2.015139e+02 6.026552e+02)	(-5.221855e+02 -2.049324e+02 6.077410e+02)	(1.288080e-01 3.418500e+00 -5.085789e+00)
80            	(-5.219894e+02 -2.010513e+02 6.024273e+02)	(-5.221196e+02 -2.044845e+02 6.075112e+02)	(1.301988e-01 3.433241e+00 -5.083934e+00)
81            	(-5.217247e+02 -2.014400e+02 6.023088e+02)	(-5.218563e+02 -2.048864e+02 6.073898e+02)	(1.315887e-01 3.446423e+00 -5.081082e+00)
