# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
38            	(-3.796787e+01 1.684283e+03 3.960292e+03)	(-2.179403e+01 1.684372e+03 3.960268e+03)	(-1.617384e+01 -8.975580e-02 2.453310e-02)
39            	(-3.826331e+01 1.684103e+03 3.959733e+03)	(-2.213711e+01 1.684199e+03 3.959719e+03)	(-1.612620e+01 -9.595055e-02 1.477054e-02)
40            	(-3.783897e+01 1.683426e+03 3.958013e+03)	(-2.176916e+01 1.683528e+03 3.958007e+03)	(-1.606981e+01 -1.016787e-01 5.817983e-03)
41            	(-3.783740e+01 1.682685e+03 3.956159e+03)	(-2.176895e+01 1.682792e+03 3.956161e+03)	(-1.606845e+01 -1.068099e-01 -2.887005e-03)
42            	(-3.804659e+01 1.682617e+03 3.955546e+03)	(-2.199840e+01 1.682730e+03 3.955558e+03)	(-1.604820e+01 -1.125343e-01 -1.182045e-02)
43            	(-3.793110e+01 1.682431e+03 3.956772e+03)	(-2.192181e+01 1.682547e+03 3.956792e+03)	(-1.600930e+01 -1.167602e-01 -2.070324e-02)
44            	(-3.821152e+01 1.681679e+03 3.954356e+03)	(-2.224328e+01 1.681800e+03 3.954385e+03)	(-1.596823e+01 -1.215269e-01 -2.921626e-02)
45            	(-3.806267e+01 1.681053e+03 3.954327e+03)	(-2.213386e+01 1.681178e+03 3.954365e+03)	(-1.592881e+01 -1.253278e-01 -3.743490e-02)
46            	(-3.816594e+01 1.680523e+03 3.952571e+03)	(-2.226552e+01 1.680652e+03 3.952616e+03)	(-1.590042e+01 -1.290289e-01 -4.512616e-02)
47            	(-3.830734e+01 1.679882e+03 3.950224e+03)	(-2.239832e+01 1.680015e+03 3.950276e+03)	(-1.590902e+01 -1.328339e-01 -5.210590e-02)
48            	(-3.844404e+01 1.680107e+03 3.950719e+03)	(-2.254066e+01 1.680244e+03 3.950779e+03)	(-1.590337e+01 -1.369265e-01 -5.919442e-02)
49            	(-3.848771e+01 1.679591e+03 3.950893e+03)	(-2.260006e+01 1.679732e+03 3.950959e+03)	(-1.588765e+01 -1.403337e-01 -6.604697e-02)
50            	(-3.864312e+01 1.678749e+03 3.949443e+03)	(-2.277429e+01 1.678893e+03 3.949516e+03)	(-1.586884e+01 -1.434130e-01 -7.254788e-02)
