#,alpha.water_initial,alpha.water_final,p_rgh_initial,p_rgh_final
2549,1.830980e-06,3.704050e-09,1.941090e-04,5.416040e-07
2550,1.832440e-06,3.656720e-09,1.941880e-04,5.514740e-07
2551,1.833820e-06,3.694650e-09,1.948190e-04,5.642200e-07
2552,1.835570e-06,3.664100e-09,1.947660e-04,5.658030e-07
2553,1.837200e-06,3.718740e-09,1.948120e-04,5.714860e-07
2554,1.838810e-06,3.673120e-09,1.949860e-04,5.370180e-07
2555,1.840370e-06,3.727270e-09,1.955370e-04,5.903570e-07
2556,1.841880e-06,3.680030e-09,1.955610e-04,5.401180e-07
2557,1.843330e-06,3.731970e-09,1.958260e-04,5.460190e-07
2558,1.844640e-06,3.694880e-09,1.958000e-04,5.355190e-07
2559,1.845760e-06,3.730410e-09,1.958340e-04,5.801340e-07
2560,1.846740e-06,3.702580e-09,1.954520e-04,5.053080e-07
2561,1.847510e-06,3.728230e-09,1.955190e-04,5.106860e-07
2562,1.848060e-06,3.709140e-09,1.954820e-04,5.223340e-07
2563,1.848490e-06,3.728570e-09,1.951790e-04,5.110440e-07
2564,1.848810e-06,3.715800e-09,1.950310e-04,5.192240e-07
2565,1.848980e-06,3.730190e-09,1.951460e-04,5.024320e-07
2566,1.848990e-06,3.722180e-09,1.949580e-04,4.976660e-07
2567,1.848870e-06,3.731840e-09,1.948430e-04,4.999100e-07
2568,1.848570e-06,3.724150e-09,1.947020e-04,4.919270e-07
2569,1.848110e-06,3.725870e-09,1.945180e-04,4.980870e-07
2570,1.847570e-06,3.716790e-09,1.944170e-04,4.785520e-07
2571,1.846890e-06,3.717280e-09,1.941460e-04,4.759350e-07
2572,1.846090e-06,3.715380e-09,1.938360e-04,4.712690e-07
2573,1.845150e-06,3.713900e-09,1.933680e-04,4.697860e-07
2574,1.844080e-06,3.711190e-09,1.932660e-04,4.815730e-07
2575,1.842840e-06,3.708560e-09,1.928690e-04,4.772810e-07
2576,1.841450e-06,3.703020e-09,1.925300e-04,4.670480e-07
2577,1.839890e-06,3.699280e-09,1.920030e-04,4.627330e-07
2578,1.838180e-06,3.693680e-09,1.916760e-04,4.609950e-07
2579,1.836320e-06,3.687630e-09,1.912330e-04,4.686390e-07
2580,1.834300e-06,3.681240e-09,1.908010e-04,4.704570e-07
2581,1.832090e-06,3.674110e-09,1.901460e-04,4.562090e-07
2582,1.829690e-06,3.665730e-09,1.894400e-04,4.507600e-07
2583,1.827120e-06,3.647150e-09,1.893470e-04,4.859570e-07
2584,1.824640e-06,3.646800e-09,1.887840e-04,4.808330e-07
2585,1.844830e-06,3.708230e-09,1.900340e-04,4.532100e-07
2586,1.882570e-06,3.830250e-09,1.936410e-04,4.616310e-07
2587,1.935930e-06,3.993440e-09,1.994690e-04,4.891040e-07
2588,2.041940e-06,4.319360e-09,2.112110e-04,5.172680e-07
2589,2.167370e-06,4.733650e-09,2.282510e-04,5.201160e-07
2590,2.322640e-06,5.287650e-09,2.520950e-04,5.439370e-07
2591,2.470270e-06,5.880110e-09,2.818070e-04,5.446370e-07
2592,2.533920e-06,6.290700e-09,3.019580e-04,5.348030e-07
2593,2.557340e-06,6.559280e-09,3.047610e-04,5.199020e-07
2594,2.561010e-06,6.680250e-09,3.043020e-04,5.339720e-07
2595,2.561820e-06,6.688610e-09,3.024710e-04,4.992290e-07
2596,2.562630e-06,6.686700e-09,3.006880e-04,5.204330e-07
2597,2.563500e-06,6.695800e-09,2.987550e-04,4.917140e-07
2598,2.564390e-06,6.693670e-09,2.974780e-04,5.136040e-07
2599,2.565140e-06,6.697940e-09,2.956270e-04,5.019780e-07
2600,2.565930e-06,6.693580e-09,2.938370e-04,4.672830e-07
2601,2.566760e-06,6.697720e-09,2.930710e-04,5.205440e-07
2602,2.567610e-06,6.695420e-09,2.914530e-04,5.080640e-07
2603,2.568510e-06,6.703510e-09,2.902080e-04,5.028010e-07
2604,2.569650e-06,6.711560e-09,2.896310e-04,5.507320e-07
2605,2.570990e-06,6.697890e-09,2.883700e-04,5.650190e-07
2606,2.572830e-06,6.724810e-09,2.870160e-04,5.395760e-07
2607,2.574830e-06,6.722520e-09,2.864220e-04,6.147460e-07
